name,description
Deluxe,Spacious rooms with premium amenities and city views
Suite,Luxury suites with separate living areas and premium services
Standard,Comfortable rooms with essential amenities for budget travelers
Economy,Basic accommodation with necessary facilities at affordable rates
Presidential,Top-tier luxury accommodation with exclusive services
Family,Large rooms designed for families with children
Executive,Business-class rooms with work facilities and premium location
Ocean View,Rooms with stunning ocean views and premium positioning
Garden View,Peaceful rooms overlooking beautifully landscaped gardens
Luxury,High-end accommodation with exceptional amenities and services
